{'emp_no': 10001, 'name': 'Georgi Facello', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 10182, 'name': 'Moriyoshi Merey', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 10192, 'name': 'Mohua Falck', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 10200, 'name': 'Vidya Awdeh', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 10209, 'name': 'Yolla Ellozy', 'dept_no': 'd002', 'manager_no': 110114}
{'emp_no': 10219, 'name': 'Genta Kolvik', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 10228, 'name': 'Karoline Cesareni', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 10238, 'name': 'Mototsugu Gire', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 10249, 'name': 'Marie Boreale', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 10259, 'name': 'Susanna Vesel', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 10268, 'name': 'Nishit Siochi', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 10279, 'name': 'Barton Jumpertz', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 10287, 'name': 'Marie Pietracaprina', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 10298, 'name': 'Dietrich DuCasse', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 10307, 'name': 'Nikolaos Leaver', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 10317, 'name': 'Arie Birge', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 10327, 'name': 'Roded Facello', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 10335, 'name': 'Toshimori Bahi', 'dept_no': 'd007', 'manager_no': 111133}
{'emp_no': 10344, 'name': 'Uwe Garnier', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 10354, 'name': 'Moto Kusakari', 'dept_no': 'd002', 'manager_no': 110114}
{'emp_no': 10363, 'name': 'Toshiki Muniz', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 10374, 'name': 'Willard Rosin', 'dept_no': 'd007', 'manager_no': 111133}
{'emp_no': 10382, 'name': 'Shirish Dredge', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 10392, 'name': 'Jiann Hainaut', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 10403, 'name': 'Atreyi Mungall', 'dept_no': 'd002', 'manager_no': 110114}
{'emp_no': 10412, 'name': 'Masoud Fabrizio', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 10422, 'name': 'Greger Rubsam', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 10430, 'name': 'Ferdinand Chenney', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 10440, 'name': 'Akeel Narahara', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 10449, 'name': 'Aleksandar Sudkamp', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 10459, 'name': 'Ennio Trogemann', 'dept_no': 'd002', 'manager_no': 110114}
{'emp_no': 10469, 'name': 'Munehiko Ananiadou', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 10478, 'name': 'Maik Ushiama', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 10488, 'name': 'Mihalis Heering', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 10499, 'name': 'Maik Luft', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 10510, 'name': 'Keung Slobodova', 'dept_no': 'd007', 'manager_no': 111133}
{'emp_no': 10519, 'name': 'Yonghoan Alencar', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 10529, 'name': 'Ymte Yetto', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 10538, 'name': 'Przemyslawa Falby', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 10548, 'name': 'Ramalingam Gunderson', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 10557, 'name': 'Sashi Karlin', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 10567, 'name': 'Dietrich Journel', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 10577, 'name': 'Ennio Schmiedel', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 10585, 'name': 'Sajjad Willoner', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 10593, 'name': 'Falguni Kenevan', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 10604, 'name': 'Susanna Brizzi', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 10614, 'name': 'Gila Ozeri', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 10623, 'name': 'Aleksander Danlos', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 10634, 'name': 'Nahid Chepyzhov', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 10644, 'name': 'Pranas Benaini', 'dept_no': 'd002', 'manager_no': 110114}
{'emp_no': 10655, 'name': 'Remko Dalton', 'dept_no': 'd002', 'manager_no': 110114}
{'emp_no': 10663, 'name': 'Teunis Noriega', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 10673, 'name': 'Hyuckchul Casperson', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 10681, 'name': 'Florina Garnier', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 10690, 'name': 'Matt Jumpertz', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 10701, 'name': 'Hyuncheol Zolotykh', 'dept_no': 'd007', 'manager_no': 111133}
{'emp_no': 10709, 'name': 'Jiafu Mateescu', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 10720, 'name': 'Odinaldo Kruskal', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 10730, 'name': 'Mohit Janetzko', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 10738, 'name': 'Rosita Oppitz', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 10748, 'name': 'Yuchang Francisci', 'dept_no': 'd002', 'manager_no': 110114}
{'emp_no': 10756, 'name': 'Paddy Brizzi', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 10765, 'name': 'Goetz Norsworthy', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 10775, 'name': 'Xiaoheng Sluis', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 10786, 'name': 'Patricia dAstous', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 10797, 'name': 'Goetz Hiyoshi', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 10806, 'name': 'Giap Matzel', 'dept_no': 'd002', 'manager_no': 110114}
{'emp_no': 10817, 'name': 'Uri Rullman', 'dept_no': 'd007', 'manager_no': 111133}
{'emp_no': 10825, 'name': 'Fan Fairtlough', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 10836, 'name': 'Jianhua Leivant', 'dept_no': 'd007', 'manager_no': 111133}
{'emp_no': 10846, 'name': 'Tokuyasu Serre', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 10855, 'name': 'Kwangho Reinhart', 'dept_no': 'd002', 'manager_no': 110114}
{'emp_no': 10865, 'name': 'Danco Etalle', 'dept_no': 'd007', 'manager_no': 111133}
{'emp_no': 10874, 'name': 'Mahmut Borstler', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 10885, 'name': 'Rayond Cronau', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 10895, 'name': 'Vishwani Petersohn', 'dept_no': 'd007', 'manager_no': 111133}
{'emp_no': 10906, 'name': 'Munehiro Carrere', 'dept_no': 'd002', 'manager_no': 110114}
{'emp_no': 10916, 'name': 'Make Spataro', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 10926, 'name': 'Leni Eppinger', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 10937, 'name': 'Anyuan Nanard', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 10948, 'name': 'Shigehito Brodie', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 10956, 'name': 'Arno Picel', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 10966, 'name': 'Danel Pardalos', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 10975, 'name': 'Peternela Birnbaum', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 10985, 'name': 'Chiradeep Furedi', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 10994, 'name': 'Divine Aingworth', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 11004, 'name': 'JoAnna Decleir', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 11012, 'name': 'Taegyun Speckmann', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 11022, 'name': 'Apostol Pintelas', 'dept_no': 'd007', 'manager_no': 111133}
{'emp_no': 11032, 'name': 'Erez Schaaf', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 11041, 'name': 'Stamatina Matheson', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 11052, 'name': 'Parto Hitomi', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 11061, 'name': 'Pintsang Erni', 'dept_no': 'd002', 'manager_no': 110114}
{'emp_no': 11072, 'name': 'Arfst Pulkowski', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 11083, 'name': 'Shimshon Ducloy', 'dept_no': 'd002', 'manager_no': 110114}
{'emp_no': 11092, 'name': 'Narain Stamatiou', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 11102, 'name': 'Bernardo Carrera', 'dept_no': 'd007', 'manager_no': 111133}
{'emp_no': 11110, 'name': 'Valeska Birjandi', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 11120, 'name': 'Masato Curless', 'dept_no': 'd007', 'manager_no': 111133}
{'emp_no': 11129, 'name': 'Goncalo Pulkowski', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 11138, 'name': 'Adel Matteis', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 11148, 'name': 'Zhanqiu Botman', 'dept_no': 'd002', 'manager_no': 110114}
{'emp_no': 11156, 'name': 'Tomoyuki Armand', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 11164, 'name': 'Alain Limongiello', 'dept_no': 'd002', 'manager_no': 110114}
{'emp_no': 11172, 'name': 'Kristian Sudkamp', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 11182, 'name': 'Tze Steinauer', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 11190, 'name': 'Saeko Mellouli', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 11199, 'name': 'Ortrud Srimani', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 11209, 'name': 'Xuejun Penn', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 11219, 'name': 'Youpyo Heuter', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 11229, 'name': 'Gretta Ramamoorthy', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 11238, 'name': 'Kwan Chenoweth', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 11246, 'name': 'Maik Reinhart', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 11257, 'name': 'Weidon Pews', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 11267, 'name': 'Shaunak Zaumen', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 11277, 'name': 'Munehiro Ritcey', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 11288, 'name': 'Domenico Eastman', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 11298, 'name': 'Jiong Alvarado', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 11308, 'name': 'Tadahiro Tibblin', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 11317, 'name': 'Shigeaki Hagimont', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 11327, 'name': 'Irena Krohm', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 11335, 'name': 'Bernd Plump', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 11344, 'name': 'Paddy Gulak', 'dept_no': 'd007', 'manager_no': 111133}
{'emp_no': 11352, 'name': 'Toney Terekhov', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 11361, 'name': 'Zhonghui Birdsall', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 11369, 'name': 'Alair Camarinopoulos', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 11378, 'name': 'Masamitsu Katiyar', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 11389, 'name': 'Ronnie Provine', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 11400, 'name': 'Sverrir Walstra', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 11409, 'name': 'Martial Siepmann', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 11418, 'name': 'Satosi Cooley', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 11427, 'name': 'Haldun Iisaka', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 11436, 'name': 'Christfried Lindqvist', 'dept_no': 'd002', 'manager_no': 110114}
{'emp_no': 11446, 'name': 'Naftali Narahara', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 11456, 'name': 'Anyuan Seuren', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 11465, 'name': 'Tomoyuki Porenta', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 11474, 'name': 'Gennady Akazan', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 11483, 'name': 'Zine Mateescu', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 11494, 'name': 'Neelam Kabayashi', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 11505, 'name': 'Shietung Billingsley', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 11516, 'name': 'Hironoby Sethi', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 11525, 'name': 'Tadahiro Huttel', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 11534, 'name': 'Surveyors Besancenot', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 11544, 'name': 'Elzbieta Thimonier', 'dept_no': 'd002', 'manager_no': 110114}
{'emp_no': 11554, 'name': 'Subhash Taubenfeld', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 11564, 'name': 'Sastry Verspoor', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 11572, 'name': 'Vidya Quittner', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 11582, 'name': 'Willard Baar', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 11591, 'name': 'Kiyomitsu Lindqvist', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 11601, 'name': 'Erez Ritzmann', 'dept_no': 'd007', 'manager_no': 111133}
{'emp_no': 11609, 'name': 'Sigeru Marrakchi', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 11618, 'name': 'Gian Juneja', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 11628, 'name': 'Fan Malinowski', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 11638, 'name': 'JoAnne Falco', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 11649, 'name': 'Shen Bernardinello', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 11659, 'name': 'Tremaine Pileggi', 'dept_no': 'd007', 'manager_no': 111133}
{'emp_no': 11669, 'name': 'Leah Anguita', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 11678, 'name': 'Zhaofang Bernick', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 11686, 'name': 'Nadjib Srimani', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 11695, 'name': 'Gretta Serra', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 11705, 'name': 'Arve Hofmeyr', 'dept_no': 'd002', 'manager_no': 110114}
{'emp_no': 11713, 'name': 'Danel Heusch', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 11723, 'name': 'Halsur Bauknecht', 'dept_no': 'd007', 'manager_no': 111133}
{'emp_no': 11732, 'name': 'Sanjoy Ranft', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 11740, 'name': 'Isaac Pero', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 11750, 'name': 'Mong Dalphin', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 11759, 'name': 'Feixiong Cincotta', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 11769, 'name': 'Chandrasekaran Lampe', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 11780, 'name': 'Sugwoo Sewelson', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 11788, 'name': 'Georgy Gopalakrishnan', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 11797, 'name': 'Chenxi Thambidurai', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 11807, 'name': 'Chriss Binding', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 11815, 'name': 'Akemi Sommen', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 11823, 'name': 'Weiyi Iacovou', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 11831, 'name': 'Udaiprakash Billingsley', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 11841, 'name': 'Elvia Bugrara', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 11852, 'name': 'Zhongwei Yurek', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 11862, 'name': 'Alejandra Deville', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 11873, 'name': 'Venkatesan Reeken', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 11882, 'name': 'Zhonghua Manders', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 11893, 'name': 'Vitali Zobel', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 11904, 'name': 'DeForest Flasterstein', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 11912, 'name': 'Kristian Giaccio', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 11920, 'name': 'Kasturi Chinal', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 11928, 'name': 'Mang Wroclawski', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 11938, 'name': 'Aruna Verspoor', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 11948, 'name': 'Yahiko Nergos', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 11957, 'name': 'Frederique Radivojevic', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 11967, 'name': 'Guoxiang Chinin', 'dept_no': 'd002', 'manager_no': 110114}
{'emp_no': 11977, 'name': 'Chandrasekaran Dayang', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 11987, 'name': 'Vidya Schaar', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 11998, 'name': 'Conal Juneja', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 12008, 'name': 'Frederique Zykh', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 12018, 'name': 'Fai Morton', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 12027, 'name': 'Zhanqiu Vuskovic', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 12036, 'name': 'Mads Ratzlaff', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 12046, 'name': 'Xiong Ranum', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 12056, 'name': 'Nirmal Genther', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 12067, 'name': 'Doowon Kalsbeek', 'dept_no': 'd007', 'manager_no': 111133}
{'emp_no': 12077, 'name': 'Steve Hutton', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 12088, 'name': 'Gro Liesche', 'dept_no': 'd002', 'manager_no': 110114}
{'emp_no': 12098, 'name': 'Pranay Eugenio', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 12106, 'name': 'Zissis Cangellaris', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 12117, 'name': 'Zvonko Rosaz', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 12125, 'name': 'Shounak Erman', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 12134, 'name': 'Hsiangchu Flasterstein', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 12143, 'name': 'Zeljko Denti', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 12152, 'name': 'Amalendu Nyrup', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 12162, 'name': 'Alois Dulli', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 12170, 'name': 'Moie Nannarelli', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 12178, 'name': 'Miyeon Chinal', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 12188, 'name': 'Vasilis Waleschkowski', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 12197, 'name': 'Bowen Beznosov', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 12208, 'name': 'Bartek Passino', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 12217, 'name': 'Aloke Suessmith', 'dept_no': 'd002', 'manager_no': 110114}
{'emp_no': 12226, 'name': 'Kankanahalli Joslin', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 12236, 'name': 'Ebbe Thambidurai', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 12244, 'name': 'Annemarie Harllee', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 12252, 'name': 'Genki Jiang', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 12260, 'name': 'Mokhtar Huttel', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 12269, 'name': 'Mohammed Whitcomb', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 12279, 'name': 'Renee Brookman', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 12290, 'name': 'Jeanne Braccini', 'dept_no': 'd002', 'manager_no': 110114}
{'emp_no': 12298, 'name': 'Tetsurou Rodham', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 12308, 'name': 'Mototsugu Cronau', 'dept_no': 'd002', 'manager_no': 110114}
{'emp_no': 12317, 'name': 'Weiyi Crabtree', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 12325, 'name': 'Alassane Randt', 'dept_no': 'd007', 'manager_no': 111133}
{'emp_no': 12334, 'name': 'Mary Ertl', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 12343, 'name': 'Sorina Slaats', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 12351, 'name': 'Gennady Zizka', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 12361, 'name': 'Elliott Strandh', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 12371, 'name': 'Paraskevi Choobineh', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 12380, 'name': 'Menkae Farrow', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 12388, 'name': 'Arumugam Hebert', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 12398, 'name': 'Arif Solovay', 'dept_no': 'd007', 'manager_no': 111133}
{'emp_no': 12409, 'name': 'Ebru Petereit', 'dept_no': 'd005', 'manager_no': 110567}
{'emp_no': 12420, 'name': 'Douadi Rande', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 12430, 'name': 'Kristine Feldmann', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 12438, 'name': 'Yongmao Mondadori', 'dept_no': 'd007', 'manager_no': 111133}
{'emp_no': 12448, 'name': 'Honglan Salverda', 'dept_no': 'd007', 'manager_no': 111133}
{'emp_no': 12458, 'name': 'Oksana Junet', 'dept_no': 'd002', 'manager_no': 110114}
{'emp_no': 12467, 'name': 'Zhiwei Bennis', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 12478, 'name': 'Yahiko Hopewell', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 12487, 'name': 'Mona Reghbati', 'dept_no': 'd002', 'manager_no': 110114}
{'emp_no': 12496, 'name': 'Guiseppe Chimia', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 12505, 'name': 'Barton Goldhammer', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 12516, 'name': 'Sreenivas Aamodt', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 12527, 'name': 'Niclas Dayang', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 12537, 'name': 'Avishai Gonthier', 'dept_no': 'd001', 'manager_no': 110039}
{'emp_no': 12547, 'name': 'Sasan Yamaashi', 'dept_no': 'd002', 'manager_no': 110114}
{'emp_no': 12557, 'name': 'Stafford Kopetz', 'dept_no': 'd004', 'manager_no': 110420}
{'emp_no': 12567, 'name': 'Horward DasSarma', 'dept_no': 'd002', 'manager_no': 110114}
{'emp_no': 12577, 'name': 'Takushi Schrift', 'dept_no': 'd004', 'manager_no': 110420}
